,From,To,Mid,District,Floor,Top,EMP_NAL,EMP_AL,EMP_UN,MSL_RUD,MSL_INT,EMP_ADV
0,0,0.1,0.05,203,0.1031387755,12.3121706765,0.0726114987,0.1471311886,0.8187142687,0.0002975422,0.9097495009,0.0900334871
1,0,0.1,0.05,204,0.7764249223,14.6619711109,0.0447222697,0.222130063,0.859383967,0.0003888517,0.9214225347,0.0782394358
2,0,0.1,0.05,205,0.5428662637,4.1537947057,0.0516369872,0.2211763445,0.8434457999,8.6122867769655E-05,0.8658158266,0.1340023727
3,0,0.1,0.05,206,0.641490496,10.0982754273,0.0407156419,0.2105467803,0.810762907,0.0004007282,0.9556870515,0.0439671403
4,0,0.1,0.05,207,0.4314540326,9.1116444164,0.0626738879,0.204922821,0.7792057347,0.000753561,0.856437644,0.1427835541
5,0,0.1,0.05,208,1.3107858689,8.618526364,0.047428614,0.1953161825,0.7459723635,0.0001207557,0.8746984144,0.1252538489
6,0,0.1,0.05,209,0.7575649132,8.3731080651,0.0402200721,0.2884109819,0.7484348321,0.0001463946,0.9175794402,0.0822280775
7,0,0.1,0.05,210,2.7638675942,11.1789486827,0.0578734723,0.2460932384,0.8997894228,3.66778058521477E-05,0.8288747249,0.1711124786
8,0,0.1,0.05,211,1.5286158958,11.7593436279,0.0476570289,0.2474368561,0.8411266201,0.0004234969,0.8197244135,0.1797090268
9,0,0.1,0.05,212,1.572822421,12.0963415732,0.0415370666,0.2270765664,0.84662332,0.0003248094,0.9334980914,0.0660601121
10,0,0.1,0.05,213,0.0690550984,5.5396726887,0.0324737637,0.2819531218,0.7645167218,0.0002391543,0.959693803,0.0400462644
11,0,0.1,0.05,214,0.5039974627,8.0217565625,0.0729699381,0.1821810132,0.8247874491,0.0005642649,0.9049998922,0.0943880147
12,0,0.1,0.05,215,0.3079828457,7.2617513845,0.1018258427,0.1225421348,0.8664754994,0.0007362648,0.6986513089,0.3004801648
13,0,0.1,0.05,216,0.9999003306,8.5518957558,0.1264170618,0.1185438488,0.8304331869,0.0007160367,0.625163754,0.3742276913
14,0,0.1,0.05,217,0.9565372781,7.7402250922,0.062899119,0.1131077794,0.892863244,0.0008076796,0.7733128847,0.2258157558
15,0,0.1,0.05,218,1.9589961247,8.8964583367,0.0879119935,0.0973576281,0.8436458202,0.0019851593,0.788760146,0.2092195545
16,0,0.1,0.05,219,1.2214323736,9.7828964244,0.0700328231,0.086797141,0.8925457836,0.0007729957,0.8030247496,0.1961424283
17,0,0.1,0.05,220,1.9630330264,8.0548482038,0.1134666345,0.1457775112,0.8617200675,0.0011344664,0.7334605135,0.2655322877
18,0,0.1,0.05,221,1.0622348389,5.8823090584,0.1471918243,0.1047854149,0.8749150513,0.0011433488,0.6905172311,0.3084320735
19,0,0.1,0.05,222,3.6485947723,7.8133449366,0.1250600872,0.1290134098,0.8503580368,0.0011239608,0.7438955591,0.2549395005
20,0,0.1,0.05,223,0.5288101033,7.5708457304,0.050559344,0.1539783018,0.8269964302,9.13893044128646E-05,0.861844124,0.1379145709
21,0,0.1,0.05,224,0.7767811923,7.957561249,0.1579990251,0.0743030981,0.8778435762,0.0009986627,0.5461563773,0.4528109817
22,0,0.1,0.05,225,2.2029764878,13.1563241789,0.0471156325,0.1921309861,0.7809298891,0.0007421563,0.8092752267,0.1899760984
23,0,0.1,0.05,226,0.2700126382,3.8918807385,0.1339638895,0.0614440674,0.9141892723,0.0020074155,0.6437496683,0.3541769573
24,0,0.1,0.05,227,0.0322775774,4.32310472,0.0534374946,0.1371533492,0.8300393203,0.0002604546,0.7260222974,0.2738967552
25,0,0.1,0.05,228,0.7416648982,4.1971440383,0.081287871,0.1779552223,0.8038666941,0.0009564672,0.7944211517,0.2043042278
26,0,0.1,0.05,229,1.3394533386,8.7909473194,0.0687005747,0.2434380537,0.7940884145,0.0004048631,0.7571892222,0.2424249085
27,0,0.1,0.05,230,5.5100530247,16.4377870196,0.1201690821,0.1577968768,0.8457729469,0.0017023606,0.374636506,0.623701102
28,0,0.1,0.05,231,0.4415697401,7.881666466,0.0641633326,0.1455404341,0.8673297235,0.0014533762,0.9424260606,0.0559253894
29,0,0.1,0.05,232,0.5721478818,7.7729828966,0.1000942407,0.1163607162,0.8643995806,0.0005823117,0.7967992091,0.2026605069
30,0,0.1,0.05,233,1.4565118352,8.0539504099,0.0502787156,0.158852163,0.8666719008,0.0037405127,0.8010129724,0.1953485517
31,0,0.1,0.05,234,0.2098968993,10.0684550966,0.0792007975,0.127625363,0.8428249469,0.0019864512,0.8164582245,0.1815180872
32,0,0.1,0.05,235,0.4590504324,10.251335653,0.0636505518,0.1626317989,0.8409197041,0.000420021,0.853657008,0.1458604628
33,0,0.1,0.05,236,1.8370185918,12.8393820476,0.0849572284,0.1779435325,0.7985024005,0.0005115863,0.8139108519,0.1856237123
34,0,0.1,0.05,237,0.4685331146,8.266402686,0.0868312152,0.1961821774,0.7946151369,0.00061436,0.8331851996,0.1661891501
35,0,0.1,0.05,238,0.4230007993,9.2881871452,0.1723689625,0.1982633691,0.7027570208,0.000390798,0.9050366057,0.0946223243
36,0,0.1,0.05,239,2.2341539427,5.7800649101,0.0609291306,0.1873197363,0.8209981459,0.0009443939,0.8873752761,0.1117135897
37,0,0.1,0.05,240,2.1382491888,5.6205850445,0.0455207125,0.2087291209,0.8309195431,0,0.9619488029,0.0377089012
38,0,0.1,0.05,370,0.9720703372,12.8420229285,0.1187950977,0.2639439023,0.5422625539,0.009990865,0.4919224596,0.4980229057
39,0,0.1,0.05,371,0.8773159549,10.3147445687,0.2773097948,0.0527825074,0.6734474415,0.0110145721,0.2992955694,0.6895971193
40,0,0.1,0.05,372,0.2563869132,12.2203613844,0.1916935887,0.2211170749,0.5551711565,0.0143364442,0.4707522787,0.5148179499
41,0,0.1,0.05,373,0.8946342994,8.1034215164,0.0843406037,0.2144641772,0.5639475994,0.0119229711,0.6987110166,0.2893425034
42,0,0.1,0.05,374,0.3278460442,16.4783362159,0.1124545448,0.1521654609,0.5609157372,0.0106231342,0.66013525,0.3291362451
43,0,0.1,0.05,375,0.8919737891,15.2546549924,0.1191148594,0.1794885682,0.6262524662,0.0033387168,0.7396080958,0.2570010296
44,0,0.1,0.05,376,2.6438916222,14.5807250019,0.1254198873,0.1363051952,0.5714939094,0.0034143758,0.8202035459,0.1763422011
45,0,0.1,0.05,377,2.0367819625,10.7706888926,0.1684111591,0.1494851967,0.7309962221,0.0168775863,0.3408008387,0.6423000553
46,0,0.1,0.05,378,2.5012890731,9.7095706566,0.1105657992,0.1405992348,0.7790183081,0.0222643688,0.357418299,0.6202216898
47,0,0.1,0.05,379,0.2585158038,8.8931316807,0.1040960399,0.1816301106,0.7464532447,0.0088005316,0.4276031239,0.5635309103
48,0,0.1,0.05,380,1.3631327128,7.1317584326,0.1389049209,0.1365016889,0.695991144,0.0090287502,0.4320186578,0.5590130344
49,0,0.1,0.05,381,3.0806041265,12.7651131397,0.2018419566,0.0967513405,0.7180759934,0.0176835436,0.3112278675,0.6710483874
50,0,0.1,0.05,382,0.0498620855,6.8428917959,0.1494243892,0.1143668282,0.7817627754,0.0078132274,0.4545959055,0.5375041158
