attribute,BF_RUD,BF_RUD,BF_RUD,BF_INT,BF_INT,BF_INT,BF_ADV,BF_ADV,BF_ADV,CHH_RUD,CHH_RUD,CHH_RUD,CHH_INT,CHH_INT,CHH_INT,CHH_ADV,CHH_ADV,CHH_ADV,FC_RUD,FC_RUD,FC_RUD,FC_INT,FC_INT,FC_INT,FC_ADV,FC_ADV,FC_ADV,MSW_RUD,MSW_RUD,MSW_RUD,MSW_INT,MSW_INT,MSW_INT,MSW_ADV,MSW_ADV,MSW_ADV,MSL_RUD,MSL_RUD,MSL_RUD,MSL_INT,MSL_INT,MSL_INT,MSL_ADV,MSL_ADV,MSL_ADV,EMP_UN,EMP_UN,EMP_UN,EMP_AL,EMP_AL,EMP_AL,EMP_NAL,EMP_NAL,EMP_NAL
salient_info,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance
203,92.03,98.47,28.62,0.72,0.29,28.62,7.25,1.23,28.62,10.14,9.8,28.62,46.38,33.33,28.62,43.48,56.86,28.62,43.48,48.58,28.62,52.17,50.91,28.62,4.35,0.51,28.62,0.72,1.53,28.62,99.28,98.04,28.62,0.0,0.44,28.62,86.23,96.95,28.62,10.87,2.54,28.62,2.9,0.51,28.62,79.71,68.85,28.62,15.22,30.07,28.62,5.07,1.09,28.62
204,94.44,97.53,35.27,0.0,0.24,35.27,5.56,2.23,35.27,11.11,11.31,35.27,54.76,53.63,35.27,34.13,35.06,35.27,54.76,48.05,35.27,42.86,51.55,35.27,2.38,0.4,35.27,0.0,0.08,35.27,100.0,99.76,35.27,0.0,0.16,35.27,83.33,95.78,35.27,15.08,3.98,35.27,1.59,0.24,35.27,80.16,83.98,35.27,15.08,14.66,35.27,4.76,1.35,35.27
205,90.0,95.29,18.34,5.0,1.05,18.34,5.0,3.66,18.34,35.0,13.61,18.34,35.0,40.31,18.34,30.0,46.07,18.34,20.0,18.32,18.34,80.0,81.68,18.34,0.0,0.0,18.34,0.0,0.0,18.34,100.0,99.48,18.34,0.0,0.52,18.34,70.0,94.24,18.34,30.0,5.76,18.34,0.0,0.0,18.34,85.0,87.96,18.34,15.0,11.52,18.34,0.0,0.52,18.34
206,96.3,98.39,32.42,0.0,0.12,32.42,3.7,1.49,32.42,4.94,6.07,32.42,60.49,52.17,32.42,34.57,41.76,32.42,29.63,28.75,32.42,69.14,71.0,32.42,1.23,0.25,32.42,1.23,0.37,32.42,98.77,99.63,32.42,0.0,0.0,32.42,85.19,96.16,32.42,13.58,3.59,32.42,1.23,0.25,32.42,90.12,90.33,32.42,3.7,8.05,32.42,6.17,1.61,32.42
207,94.59,97.64,41.48,0.9,0.36,41.48,4.5,2.0,41.48,8.11,13.43,41.48,67.57,60.44,41.48,24.32,26.13,41.48,50.45,39.56,41.48,47.75,59.98,41.48,1.8,0.45,41.48,0.0,0.18,41.48,100.0,99.64,41.48,0.0,0.18,41.48,89.19,89.93,41.48,9.91,9.17,41.48,0.9,0.91,41.48,88.29,74.32,41.48,7.21,23.41,41.48,4.5,2.27,41.48
208,96.23,98.67,33.03,1.89,0.19,33.03,1.89,1.14,33.03,9.43,11.2,33.03,35.85,41.18,33.03,54.72,47.63,33.03,18.87,14.61,33.03,81.13,85.39,33.03,0.0,0.0,33.03,0.0,0.0,33.03,100.0,100.0,33.03,0.0,0.0,33.03,84.91,93.17,33.03,15.09,6.45,33.03,0.0,0.38,33.03,86.79,75.71,33.03,9.43,23.72,33.03,3.77,0.57,33.03
209,98.61,99.86,35.84,1.39,0.14,35.84,0.0,0.0,35.84,6.94,10.03,35.84,37.5,33.01,35.84,55.56,56.96,35.84,13.89,5.57,35.84,86.11,94.43,35.84,0.0,0.0,35.84,0.0,0.14,35.84,100.0,99.86,35.84,0.0,0.0,35.84,80.56,96.52,35.84,19.44,3.34,35.84,0.0,0.14,35.84,79.17,68.8,35.84,18.06,30.64,35.84,2.78,0.56,35.84
210,98.75,99.62,40.99,0.0,0.0,40.99,1.25,0.38,40.99,11.25,14.65,40.99,41.25,35.48,40.99,47.5,49.87,40.99,11.25,7.2,40.99,88.75,92.55,40.99,0.0,0.25,40.99,2.5,1.77,40.99,96.25,97.98,40.99,1.25,0.25,40.99,77.5,81.82,40.99,21.25,16.16,40.99,1.25,2.02,40.99,86.25,87.37,40.99,8.75,11.36,40.99,5.0,1.26,40.99
211,99.11,99.19,44.34,0.89,0.36,44.34,0.0,0.45,44.34,14.29,12.37,44.34,29.46,31.0,44.34,56.25,56.63,44.34,5.36,4.57,44.34,94.64,95.34,44.34,0.0,0.09,44.34,2.68,0.99,44.34,97.32,98.92,44.34,0.0,0.09,44.34,90.18,91.13,44.34,8.93,7.62,44.34,0.89,1.25,44.34,90.18,77.78,44.34,7.14,21.24,44.34,2.68,0.99,44.34
