STATE,Name,NAME,District,No_HH,TOT_P,ELG_POP,LIT,F_EMP,F_EMP_Female,EMP_AL,EMP_NAL,EMP_UN,FC_RUD,FC_INT,FC_ADV,MSL_RUD,MSL_INT,MSL_ADV,CHH_RUD,CHH_INT,CHH_ADV,MSW_RUD,MSW_INT,MSW_ADV,BF_RUD,BF_INT,BF_ADV,radio/transistor,TV,Telephone,Bicycle,2 wheeler,4 wheeler,No asset,State,District_2011,No_HH_2011,TOT_P_2011,EMP_AL_2011,EMP_NAL_2011,EMP_UN_2011,ELG_POP_2011,LIT_2011_val,F_EMP_2011,BF_RUD_2011,BF_INT_2011,BF_ADV_2011,CHH_RUD_2011,CHH_INT_2011,CHH_ADV_2011,FC_RUD_2011,FC_INT_2011,FC_ADV_2011,MSL_RUD_2011,MSL_INT_2011,MSL_ADV_2011,MSW_RUD_2011,MSW_INT_2011,MSW_ADV_2011,Radio_2011,TV_2011,Telephone_2011,Cycle_2011,2 Wheeler_2011,4 Wheeler_2011,No Asset_2011,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,Population Change,MSL_Change,MSW_Change,FC_Chnage,BF_Change,EMP_Change,CHH_Change,Asset Change,F_Main_Ch,F_Mar_Ch,EMP_2011,EMP_2001,ASSET_2011,ASSET_2001,F_Main_2001,F_Marg_2001,F_Main_2001_L,F_Marg_2001_L,F_Main_2011,F_marg_2011,F_Main_2011_L,F_marg_2011_L,Ind_2011,Ind_2001,Ind_change,LIT_2001,LIT_2011,LIT_Change,Formal_EMP_2001,Formal emp 2011,Formal emp change
1,JAMMU & KASHMIR,Kupwara,1,87052,650393,537797,43.2425246,2.477886638,4.311365622,11.44316536,11.56049587,60.48676359,81.6906122,13.20754717,5.101840632,12.24395592,31.57925105,56.17679303,3.246978933,77.32194418,19.43107689,70.8453061,4.222491489,24.93220241,49.6959206,48.13340257,2.170676822,53.94380013,12.85211471,1.568288039,3.373146385,1.350181755,1.369799781,43.96745716,1,1,113929,870354,3.582831051,14.58691582,66.39102289,681556,64.50739191,1.778870702,69.6,9.2,21.2,7.9,57.3,34.8,79.9,4,15.8,7.9,11.5,80.6,48.2,4.7,47.1,55.7,25.1,49.9,2.8,1.7,2.8,25,Unemployment,Unemployment,1,1,1,2,3,2,1,1,1,1,26.73108998,1,0,0,0,0,0,0,0,-1,1,1,1,1,10.77170548,50.04730369,1,2,9.790288847,24.74745075,1,1,3,3,0,1,1,0,2,2,0
1,JAMMU & KASHMIR,Badgam,2,86489,629309,531775,42.53058154,4.184288468,7.337292545,12.60062997,16.16717597,57.50232711,41.82350966,49.29522,8.881270341,1.98288144,12.60496415,85.41215441,2.195007065,65.50703183,32.29796111,34.90427269,9.950312142,55.14541517,25.75545234,69.46339429,4.781153361,71.04321338,40.45448754,3.87889598,12.32351544,4.045680399,2.287494643,23.99147546,1,2,103363,753745,7.640720884,14.41333371,64.10182727,598543,56.07767529,2.529141599,60.1,7,32.9,3.7,44.7,51.6,55.8,26.2,16.7,1.6,6.1,92.3,16.2,9.9,73.9,67.3,54.6,64.9,10.1,5.9,5.1,11.8,Unemployment,Unemployment,3,3,1,2,3,3,1,2,2,1,12.55568615,0,0,0,0,0,1,1,0,-1,1,1,2,1,14.54503857,62.31441407,1,3,11.46792118,44.83303766,1,1,3,4,-1,1,1,0,2,2,0
1,JAMMU & KASHMIR,Leh (Ladakh),3,24147,117232,104500,65.33779904,9.804784689,19.35910517,9.805741627,27.30047847,44.37799043,19.31341495,29.56082527,51.12575978,1.04015067,20.36640699,78.59344234,1.744160568,74.70528945,23.55054998,56.79308278,14.11266159,29.09425563,14.89170448,83.07935964,2.028935879,79.5008989,37.22712097,9.023200068,4.541563222,6.720315042,4.451673658,16.62528893,1,3,21909,133487,9.687909048,37.33977657,38.1918318,121471,77.19537997,10.19420273,19.9,72.1,8,1.8,52.4,45.8,22.5,10.9,66.3,0.7,3.6,95.7,41.1,28.8,30.1,73.2,65.4,19.8,2.9,6.2,20.6,9.5,Non Agri,Non Agri,1,1,2,2,3,3,3,3,2,1,16.24019139,0,0,0,0,0,1,1,0,0,3,3,2,1,26.42356097,53.63067859,2,2,21.67702407,52.52868442,2,2,3,3,0,1,2,1,3,3,0
1,JAMMU & KASHMIR,Kargil,4,17146,119307,99926,60.84802754,12.54728499,23.06814837,13.82022697,24.53815824,44.31379221,54.44151802,32.10822459,13.45025739,0.20950556,13.42032803,86.37016641,0.864086409,83.43234323,15.70357036,54.77672692,3.85490243,41.36837065,4.405602777,90.88950078,4.704896444,67.87980366,18.75374117,5.369328385,5.441158865,4.004549264,3.11864001,29.80964923,1,4,18338,140802,1.950791734,21.99232258,57.08506379,120874,71.34371329,3.116468389,29.1,9.3,61.6,3.1,72.6,24.3,69,10.6,18.2,0.2,3,96.8,22.8,18.1,59.1,59.8,44,36.8,2.7,3.6,10.1,19.4,Non Agri,Non Agri,3,1,3,2,3,3,1,2,1,1,20.963513,0,1,0,1,0,0,0,-1,-1,3,3,1,1,32.71067049,61.08576379,3,3,13.01613628,36.05006105,1,1,3,3,0,1,2,1,3,3,0
1,JAMMU & KASHMIR,Punch,5,59848,372613,305554,51.18506058,4.769697009,8.169282511,15.86397167,12.44755428,34.18511949,81.06934478,11.04386024,7.886794984,0.99926229,42.64636845,56.35436926,1.143810117,67.57407813,31.28211175,64.20763195,1.101535779,34.69083227,69.9751861,24.33103078,5.693783113,62.7875394,14.83971565,2.21480786,1.480450674,2.177922339,1.106565623,35.43524914,1,5,90261,476835,6.073780922,12.60400703,58.84521918,392161,66.7389159,2.575472829,82.5,0.6,16.9,2.3,56.9,40.8,77.9,6.6,15.3,7,21.9,71.1,46.3,4.6,49.1,42.1,18,34.8,1,2.7,1.9,37.1,Unemployment,Agricultural,1,1,1,1,3,2,1,1,1,1,28.34425339,1,0,0,0,0,0,0,0,-1,1,2,1,1,16.84719156,65.01356976,1,3,13.78896064,38.1367277,1,1,3,2,1,1,1,0,2,2,0
1,JAMMU & KASHMIR,Rajauri,6,81116,483284,403890,57.9930179,3.073609151,5.494184503,16.24229369,13.07583748,45.97241823,79.86194257,7.453879047,12.68417838,2.53268173,28.3579719,69.10934637,1.59841512,62.64581385,35.75577103,70.79047037,0.734270006,28.47525962,77.60171045,19.84605987,2.552229688,62.86744044,20.21502749,2.863775199,1.945021381,2.781918143,1.214416616,33.77275504,1,6,130401,642415,9.219985622,15.18860083,45.53678409,534144,68.16682393,3.79354631,86.5,0.7,12.8,2.6,51,46.4,76.5,3.3,19.9,4.6,17.7,77.7,62.6,5.4,32,38.7,27.6,48.1,1.8,5.9,2.5,30.5,Unemployment,Unemployment,1,1,1,1,3,2,1,1,2,1,32.24987001,1,0,0,0,0,1,0,0,-1,1,1,1,1,10.48364622,71.75121995,1,3,15.54185171,53.50671193,1,2,3,3,0,1,1,0,2,2,0
1,JAMMU & KASHMIR,Kathua,7,96393,550084,468782,65.56779057,7.689928368,13.82814268,17.96613351,16.55374993,56.17963147,75.20955967,8.217026853,16.57341348,1.01607838,13.9349377,85.04898392,4.020772599,46.50637911,49.47284829,32.30338831,20.61276702,47.08384467,76.03947834,19.57692868,4.383592986,48.60640223,43.91496974,4.275433159,18.36741061,8.896145766,1.582877467,31.63050939,1,7,119583,616435,10.6184237,16.20735438,62.3603049,532499,73.09009031,3.651274462,78.7,1.7,19.6,3.4,35.3,61.3,69.7,2,28,0.6,6.4,93,21.8,26.3,51.9,22.2,56.8,62.5,15,19.5,4,15.5,Unemployment,Unemployment,3,3,1,1,3,3,1,1,3,2,13.59203212,0,0,0,0,0,1,1,-1,-1,1,1,2,1,22.27680861,52.35670543,2,2,13.61106639,33.7593776,1,1,3,2,1,1,2,1,2,2,0
1,JAMMU & KASHMIR,Baramula,8,158901,1169780,984611,45.40625689,3.873204748,6.87179709,11.32386293,16.19888464,62.26723041,57.35061485,30.76171939,11.88766576,2.434689768,9.835105102,87.73020513,1.82500111,61.98715767,36.18784122,42.81538672,6.526791352,50.65782193,25.69443992,68.53261117,5.772948904,73.88372078,35.09273304,3.612324478,12.20730016,3.881832918,2.639750542,22.10555096,1,8,211027,1400271,6.003223344,16.41128648,61.36782584,1173936,62.28005615,2.447492879,57.01607283,9.098067072,33.8858601,5.67039668,45.66022357,48.66937975,64.73011179,12.6621565,22.01841328,2.951474933,5.275279467,91.7732456,23.43163719,3.604374322,72.96398849,62.21943022,49.61841328,63.24994953,9.39369275,5.157273714,6.069888213,14.25778218,Unemployment,Unemployment,3,1,1,2,3,3,1,1,2,1,19.22840594,0,1,0,0,0,1,1,0,0,1,1,2,1,14.07274015,45.20785047,1,1,10.91923445,38.77616409,1,1,3,3,0,1,1,0,2,2,0
1,JAMMU & KASHMIR,Srinagar,10,168232,1202447,1073217,59.75184888,3.059027205,5.937181259,2.763374043,28.00346994,64.15738849,24.12465696,28.86437171,47.01097133,0.933822038,2.471159572,96.59501839,2.312791327,50.84773739,46.83947129,6.276438338,2.221280828,91.50228083,4.729277562,78.13960056,17.13112188,84.20115546,69.40428171,17.08630333,31.3729824,14.03741428,7.090539603,9.573978229,1,10,237039,1534275,1.801821514,27.13295271,61.66551354,1325381,67.29083939,3.539887776,32.58482739,3.77164475,63.64352786,3.46300988,27.32730268,69.20968744,18.01773042,5.936406245,75.6884538,1.929054294,1.008050996,97.06289471,3.521702338,1.359276322,95.11902134,75.28634866,82.84166108,63.6178536,24.1696628,20.45111015,17.75297694,3.577245095,Non Agri,Non Agri,3,3,3,2,3,3,3,3,3,2,23.496087,0,0,0,1,0,1,1,0,-1,3,3,3,2,9.94260967,48.10368249,1,2,12.23402591,43.91083784,1,1,3,3,0,1,1,0,3,3,0
1,JAMMU & KASHMIR,Pulwama,12,92738,652607,567623,49.59594661,3.13077518,5.604879787,14.34173739,12.28420977,62.54573899,50.62382499,40.19291574,9.183259272,1.699495816,8.322295334,89.97820885,2.985847428,58.84659007,38.1675625,31.35254657,16.28140489,52.36604854,35.70436677,58.93543839,5.360194838,76.14296701,41.01222013,3.776063921,8.030678516,3.513288327,2.183387455,19.8790805,1,12,86241,560440,5.573287609,15.65608358,59.31033589,463066,63.48079971,1.972936903,48.1,7.2,44.7,4.4,42.9,52.7,60.9,16,22,3.5,5.3,91.2,13.7,16.4,69.9,64,56.6,65.8,6.7,5.6,7.6,10,Unemployment,Unemployment,3,3,3,2,3,3,1,2,2,1,-18.42014858,0,0,0,1,0,1,1,0,-1,1,1,2,1,11.75836173,60.65664454,1,3,9.293430716,45.33812726,1,1,3,2,1,1,1,0,2,2,0
