,From,To,Mid,District,Floor,Top,BF_RUD,BF_RUD_AV,BF_RUD_TV,BF_INT,BF_INT_AV,BF_INT_TV,BF_ADV,BF_ADV_AV,BF_ADV_TV,CHH_RUD,CHH_RUD_AV,CHH_RUD_TV,CHH_INT,CHH_INT_AV,CHH_INT_TV,CHH_ADV,CHH_ADV_AV,CHH_ADV_TV,FC_RUD,FC_RUD_AV,FC_RUD_TV,FC_INT,FC_INT_AV,FC_INT_TV,MSW_RUD,MSW_RUD_AV,MSW_RUD_TV,MSW_INT,MSW_INT_AV,MSW_INT_TV,MSW_ADV,MSW_ADV_AV,MSW_ADV_TV,MSL_RUD,MSL_RUD_AV,MSL_RUD_TV,MSL_INT,MSL_INT_AV,MSL_INT_TV,EMP_UN,EMP_UN_AV,EMP_UN_TV,EMP_AL,EMP_AL_AV,EMP_AL_TV,EMP_NAL,EMP_NAL_AV,EMP_NAL_TV
0,0,0.1,0.05,588,2.2443653886820787,5.927041499832081,0.0,0.0,16.0,6.25,1.0,16.0,93.75,15.0,16.0,87.5,14.0,16.0,12.5,2.0,16.0,0.0,0.0,16.0,25.0,4.0,16.0,75.0,12.0,16.0,100.0,16.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,100.0,16.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,100.0,16.0,16.0
1,0,0.1,0.05,589,0.2888743699587139,4.545224373029951,0.0,0.0,19.0,0.0,0.0,19.0,100.0,19.0,19.0,100.0,19.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,57.89473684210527,11.0,19.0,42.10526315789473,8.0,19.0,100.0,19.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,100.0,19.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,100.0,19.0,19.0
2,0,0.1,0.05,590,32.88734408553906,38.649878782071106,0.0,0.0,5.0,0.0,0.0,5.0,100.0,5.0,5.0,0.0,0.0,5.0,100.0,5.0,5.0,0.0,0.0,5.0,100.0,5.0,5.0,0.0,0.0,5.0,100.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,20.0,1.0,5.0,80.0,4.0,5.0,100.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0
3,0,0.1,0.05,591,10.048340104658148,21.289993301320038,0.0,0.0,15.0,0.0,0.0,15.0,100.0,15.0,15.0,100.0,15.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,100.0,15.0,15.0,0.0,0.0,15.0,100.0,15.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,100.0,15.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,100.0,15.0,15.0
4,0,0.1,0.05,592,57.553265517529965,78.80290948067062,0.0,0.0,17.0,35.294117647058826,6.0,17.0,64.70588235294117,11.0,17.0,58.82352941176471,10.0,17.0,41.17647058823529,7.0,17.0,0.0,0.0,17.0,100.0,17.0,17.0,0.0,0.0,17.0,100.0,17.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,100.0,17.0,17.0,5.88235294117647,1.0,17.0,0.0,0.0,17.0,94.11764705882352,16.0,17.0
5,0,0.1,0.05,593,43.505216021854096,54.08791162855418,11.76470588235294,2.0,17.0,70.58823529411765,12.0,17.0,17.647058823529413,3.0,17.0,5.88235294117647,1.0,17.0,88.23529411764706,15.0,17.0,5.88235294117647,1.0,17.0,100.0,17.0,17.0,0.0,0.0,17.0,17.647058823529413,3.0,17.0,0.0,0.0,17.0,82.35294117647058,14.0,17.0,11.76470588235294,2.0,17.0,88.23529411764706,15.0,17.0,0.0,0.0,17.0,29.411764705882355,5.0,17.0,70.58823529411765,12.0,17.0
6,0,0.1,0.05,594,52.21012483865696,66.57735082805961,0.0,0.0,36.0,11.11111111111111,4.0,36.0,88.88888888888889,32.0,36.0,58.333333333333336,21.0,36.0,41.66666666666667,15.0,36.0,0.0,0.0,36.0,13.88888888888889,5.0,36.0,86.11111111111111,31.0,36.0,94.44444444444444,34.0,36.0,0.0,0.0,36.0,5.555555555555555,2.0,36.0,0.0,0.0,36.0,100.0,36.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,100.0,36.0,36.0
7,0,0.1,0.05,595,5.985442911713947,20.63809528819679,0.0,0.0,17.0,23.52941176470588,4.0,17.0,76.47058823529412,13.0,17.0,41.17647058823529,7.0,17.0,58.82352941176471,10.0,17.0,0.0,0.0,17.0,70.58823529411765,12.0,17.0,29.411764705882355,5.0,17.0,100.0,17.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,100.0,17.0,17.0,5.88235294117647,1.0,17.0,0.0,0.0,17.0,94.11764705882352,16.0,17.0
8,0,0.1,0.05,596,3.631075209842181,8.563760086419043,0.0,0.0,7.0,0.0,0.0,7.0,100.0,7.0,7.0,14.285714285714285,1.0,7.0,85.71428571428571,6.0,7.0,0.0,0.0,7.0,100.0,7.0,7.0,0.0,0.0,7.0,100.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,100.0,7.0,7.0,28.57142857142857,2.0,7.0,0.0,0.0,7.0,71.42857142857143,5.0,7.0
9,0,0.1,0.05,597,2.5663192673185877,4.272293421872971,0.0,0.0,11.0,27.27272727272727,3.0,11.0,72.72727272727273,8.0,11.0,63.63636363636363,7.0,11.0,36.36363636363637,4.0,11.0,0.0,0.0,11.0,36.36363636363637,4.0,11.0,63.63636363636363,7.0,11.0,90.9090909090909,10.0,11.0,0.0,0.0,11.0,9.090909090909092,1.0,11.0,0.0,0.0,11.0,100.0,11.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,100.0,11.0,11.0
10,0,0.1,0.05,598,2.654944845841716,4.7687675447239535,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,84.61538461538461,11.0,13.0,15.384615384615385,2.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,69.23076923076923,9.0,13.0,0.0,0.0,13.0,30.76923076923077,4.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0
