,District,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL
0,203,3.0,4.0,4.0,1.0,5.0,2.0,2.0,5.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0
1,204,3.0,1.0,4.0,4.0,5.0,1.0,5.0,2.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0
2,205,3.0,4.0,1.0,4.0,5.0,1.0,4.0,3.0,7.0,1.0,3.0,1.0,3.0,4.0,7.0,3.0,4.0,4.0
3,206,3.0,1.0,4.0,1.0,5.0,2.0,1.0,6.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0
4,207,3.0,1.0,4.0,1.0,5.0,4.0,5.0,2.0,4.0,1.0,6.0,4.0,3.0,4.0,1.0,6.0,1.0,4.0
5,208,3.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,7.0,1.0,7.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0
6,209,3.0,4.0,4.0,1.0,4.0,2.0,4.0,3.0,7.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0
7,210,3.0,7.0,4.0,1.0,5.0,5.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,4.0,4.0
8,211,3.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0
9,212,3.0,4.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,6.0,1.0,6.0,1.0,4.0,6.0,1.0,4.0
10,213,7.0,1.0,1.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,7.0,6.0,1.0,4.0
11,214,3.0,7.0,4.0,1.0,5.0,2.0,4.0,3.0,7.0,1.0,6.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0
12,215,3.0,1.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0
13,216,3.0,1.0,4.0,4.0,2.0,2.0,5.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0
14,217,3.0,4.0,4.0,1.0,5.0,1.0,2.0,5.0,4.0,1.0,6.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0
15,218,3.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0
16,219,3.0,1.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
17,220,3.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0
18,221,3.0,1.0,4.0,1.0,2.0,5.0,4.0,2.0,4.0,1.0,6.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0
19,222,3.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
20,223,3.0,7.0,4.0,4.0,5.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0
21,224,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,6.0,1.0,2.0,5.0,4.0,3.0,1.0,4.0
22,225,7.0,1.0,1.0,1.0,4.0,2.0,1.0,6.0,4.0,2.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,1.0
23,226,3.0,4.0,4.0,4.0,5.0,2.0,5.0,2.0,4.0,1.0,6.0,1.0,2.0,5.0,4.0,3.0,1.0,4.0
24,227,3.0,4.0,4.0,4.0,5.0,2.0,1.0,6.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,4.0,1.0
25,228,3.0,4.0,1.0,4.0,5.0,2.0,1.0,6.0,7.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0
26,229,3.0,1.0,4.0,1.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0
27,230,6.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,6.0,1.0,4.0
28,231,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0
29,232,3.0,4.0,4.0,1.0,2.0,5.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
30,233,3.0,1.0,4.0,4.0,4.0,2.0,1.0,6.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0
31,234,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0
32,235,3.0,4.0,1.0,1.0,4.0,5.0,1.0,6.0,1.0,4.0,6.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0
33,236,3.0,1.0,4.0,1.0,4.0,2.0,1.0,6.0,4.0,1.0,6.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0
34,237,3.0,1.0,4.0,4.0,4.0,3.0,1.0,6.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,1.0
35,238,3.0,4.0,1.0,1.0,4.0,3.0,2.0,5.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0
36,239,7.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0
37,240,3.0,7.0,4.0,4.0,1.0,6.0,4.0,3.0,1.0,1.0,6.0,1.0,6.0,1.0,7.0,3.0,4.0,1.0
38,370,3.0,1.0,4.0,1.0,4.0,3.0,3.0,4.0,7.0,1.0,3.0,4.0,1.0,5.0,4.0,4.0,2.0,4.0
39,371,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,5.0
40,372,3.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,2.0,5.0,4.0,1.0,2.0,4.0
41,373,3.0,7.0,1.0,4.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,5.0,2.0,4.0
42,374,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,2.0,5.0,4.0,2.0,1.0,4.0
43,375,3.0,4.0,4.0,4.0,4.0,3.0,6.0,1.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0
44,376,3.0,4.0,4.0,4.0,4.0,3.0,6.0,1.0,1.0,5.0,2.0,1.0,3.0,4.0,4.0,5.0,2.0,4.0
45,377,3.0,1.0,4.0,4.0,1.0,3.0,5.0,2.0,4.0,1.0,6.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0
46,378,3.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,6.0,1.0,1.0,5.0,4.0,3.0,4.0,4.0
47,379,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,1.0,5.0,4.0,3.0,1.0,4.0
48,380,6.0,4.0,4.0,4.0,5.0,1.0,4.0,2.0,4.0,1.0,6.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0
49,381,7.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0
50,382,3.0,4.0,1.0,1.0,1.0,6.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,4.0,4.0
51,383,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,1.0,5.0,4.0,3.0,1.0,4.0
52,384,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,1.0,5.0,4.0,2.0,1.0,4.0
53,385,7.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,2.0,5.0,4.0,1.0,5.0,4.0,3.0,1.0,1.0
54,386,3.0,4.0,4.0,4.0,4.0,2.0,6.0,1.0,4.0,2.0,5.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0
