,State,District,Name,District_HHD_Cluster_MSL,District_HHD_Cluster_MSW,District_HHD_Cluster_CHH,District_HHD_Cluster_FC,District_HHD_Cluster_BF,District_HHD_Cluster_EMP,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL,ASSET
0,10,203,Pashchim Champaran,1,2,3,2,1,1,3.0,4.0,4.0,1.0,5.0,2.0,2.0,5.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0,1
1,10,204,Purba Champaran,1,2,3,2,1,1,3.0,1.0,4.0,4.0,5.0,1.0,5.0,2.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,1
2,10,205,Sheohar,1,2,2,2,1,1,3.0,4.0,1.0,4.0,5.0,1.0,4.0,3.0,7.0,1.0,3.0,1.0,3.0,4.0,7.0,3.0,4.0,4.0,1
3,10,206,Sitamarhi,1,2,3,2,1,1,3.0,1.0,4.0,1.0,5.0,2.0,1.0,6.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,1
4,10,207,Madhubani,1,2,2,2,1,1,3.0,1.0,4.0,1.0,5.0,4.0,5.0,2.0,4.0,1.0,6.0,4.0,3.0,4.0,1.0,6.0,1.0,4.0,1
5,10,208,Supaul,1,2,3,2,1,2,3.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,7.0,1.0,7.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0,1
6,10,209,Araria,1,2,3,2,1,2,3.0,4.0,4.0,1.0,4.0,2.0,4.0,3.0,7.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0,1
7,10,210,Kishanganj,1,2,3,2,1,1,3.0,7.0,4.0,1.0,5.0,5.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,4.0,4.0,1
8,10,211,Purnia,1,2,3,2,1,1,3.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0,1
9,10,212,Katihar,1,2,3,2,1,1,3.0,4.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,6.0,1.0,6.0,1.0,4.0,6.0,1.0,4.0,1
10,10,213,Madhepura,1,2,3,2,1,2,7.0,1.0,1.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,7.0,6.0,1.0,4.0,1
11,10,214,Saharsa,1,2,3,2,1,1,3.0,7.0,4.0,1.0,5.0,2.0,4.0,3.0,7.0,1.0,6.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,2
12,10,215,Darbhanga,1,2,3,2,1,1,3.0,1.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,1
13,10,216,Muzaffarpur,1,2,3,2,1,1,3.0,1.0,4.0,4.0,2.0,2.0,5.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,1
14,10,217,Gopalganj,1,2,3,2,1,1,3.0,4.0,4.0,1.0,5.0,1.0,2.0,5.0,4.0,1.0,6.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,1
15,10,218,Siwan,1,2,3,2,1,1,3.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,1
16,10,219,Saran,1,2,3,2,1,1,3.0,1.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1
17,10,220,Vaishali,1,2,3,2,1,1,3.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,1
18,10,221,Samastipur,1,2,3,2,1,1,3.0,1.0,4.0,1.0,2.0,5.0,4.0,2.0,4.0,1.0,6.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,1
19,10,222,Begusarai,1,2,3,2,1,1,3.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1
20,10,223,Khagaria,1,2,3,2,1,1,3.0,7.0,4.0,4.0,5.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,2
21,10,224,Bhagalpur,1,2,3,2,1,1,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,6.0,1.0,2.0,5.0,4.0,3.0,1.0,4.0,1
22,10,225,Banka,1,2,3,2,1,1,7.0,1.0,1.0,1.0,4.0,2.0,1.0,6.0,4.0,2.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,1.0,1
23,10,226,Munger,1,2,3,2,1,1,3.0,4.0,4.0,4.0,5.0,2.0,5.0,2.0,4.0,1.0,6.0,1.0,2.0,5.0,4.0,3.0,1.0,4.0,1
24,10,227,Lakhisarai,1,2,3,2,1,1,3.0,4.0,4.0,4.0,5.0,2.0,1.0,6.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,4.0,1.0,2
25,10,228,Sheikhpura,1,2,3,2,1,1,3.0,4.0,1.0,4.0,5.0,2.0,1.0,6.0,7.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,2
26,10,229,Nalanda,1,2,3,2,1,1,3.0,1.0,4.0,1.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0,2
27,10,230,Patna,2,2,2,3,3,1,6.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,6.0,1.0,4.0,3
28,10,231,Bhojpur,1,2,3,2,1,1,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,6.0,1.0,4.0,1
29,10,232,Buxar,1,2,3,2,1,1,3.0,4.0,4.0,1.0,2.0,5.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1
30,10,233,Kaimur (Bhabua),1,2,3,2,1,1,3.0,1.0,4.0,4.0,4.0,2.0,1.0,6.0,4.0,1.0,6.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,1
31,10,234,Rohtas,1,2,3,2,1,1,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,1
