,dist_percentile,t_statistic,p_value
0,1.7000000000000002,-3.9808446448084474,0.0012944856228519015
1,3.4000000000000004,-5.441384466798523,6.405556416870932e-05
2,5.1,-6.279807917757434,1.2031997366087165e-05
3,6.800000000000001,-6.672449465728161,3.868509449607583e-06
4,8.5,-6.88355775774806,2.5069037851702673e-06
5,10.2,-7.423796282889946,6.379366539917774e-07
6,11.899999999999999,-7.918733456615106,2.5994494674621986e-07
7,13.600000000000001,-7.955832945664013,2.647541344383175e-07
8,15.299999999999999,-7.490481232182193,7.555006401660672e-07
9,16.900000000000002,-7.951937055528549,2.4673682851792643e-07
10,18.6,-7.961427053281329,2.5114988594553867e-07
11,20.3,-7.942844584118105,2.677816689017403e-07
12,22.0,-8.091819746913925,1.8424891087545994e-07
13,23.7,-8.183830247713374,1.4119602504897298e-07
14,25.4,-8.314139377881993,1.0886034781889578e-07
15,27.1,-8.167752264732387,1.453803207681474e-07
16,28.799999999999997,-8.110235724024637,1.664762236224741e-07
17,30.5,-8.006452140507584,2.2116368359285487e-07
18,32.2,-7.9409098812417875,2.46588552535795e-07
19,33.900000000000006,-7.895642483986096,2.8669001468763446e-07
20,35.6,-8.002899672432266,2.1899017467675852e-07
21,37.3,-8.09727837959364,1.9023289252461686e-07
22,39.0,-7.995112002408298,2.386738363655231e-07
23,40.699999999999996,-7.916352310448744,2.750881429354336e-07
24,42.4,-7.8252662895303935,3.532456541536434e-07
25,44.1,-7.655720919529484,4.992593747204999e-07
26,45.800000000000004,-7.6006592787284095,5.801664731814935e-07
27,47.5,-7.5307398624466,7.015742800168945e-07
28,49.2,-7.45368274968396,8.086476163202377e-07
29,50.8,-7.427391642345249,8.285495899831173e-07
30,52.5,-7.421028928667302,8.535460980223857e-07
31,54.2,-7.374409292931513,9.767822756750402e-07
32,55.900000000000006,-7.33274617386839,1.0710383938838582e-06
33,57.599999999999994,-7.208615554254256,1.4230175735495258e-06
34,59.3,-7.238302728643921,1.3433989620519648e-06
35,61.0,-7.185105771721987,1.5186089543741396e-06
36,62.7,-7.134795798864435,1.6878774844195405e-06
37,64.4,-7.036227325637829,2.09936035902957e-06
38,66.10000000000001,-7.028464900224877,2.0943926750622667e-06
39,67.80000000000001,-6.971440555871229,2.4242444031254975e-06
40,69.5,-6.957649807574694,2.540474797398479e-06
41,71.2,-6.865878026119678,3.09617257986216e-06
42,72.89999999999999,-6.895208213525511,2.8677286478969777e-06
43,74.6,-6.831628107039079,3.186529171985347e-06
44,76.3,-6.873679977982616,2.9126828848179423e-06
45,78.0,-6.8588555299761875,2.9628307608841436e-06
46,79.7,-6.940029701175335,2.4312096173903337e-06
47,81.39999999999999,-6.956740729554046,2.244701881385613e-06
48,83.1,-7.028076568416179,1.9121666354414557e-06
49,84.7,-7.003361496791412,1.9386414677329886e-06
50,86.4,-7.009599580830542,1.8589863436383097e-06
51,88.1,-7.028613280943361,1.7204063435495271e-06
52,89.8,-7.014730452365985,1.7963464347906893e-06
53,91.5,-7.01627683633069,1.7750973324928823e-06
54,93.2,-6.963335009699726,1.9804327559383127e-06
55,94.89999999999999,-6.902823121722862,2.277113541560707e-06
56,96.6,-6.91042742326882,2.20773302827538e-06
57,98.3,-6.831029330732017,2.586041562951982e-06
58,100.0,-6.740307226524159,3.095340742017588e-06
